date,category_name,amount,notes,user_id
2018-01-01,Living Space,925,January Rent,6
2018-01-01,Misc,10.81,Apple Music,6
2018-01-01,Transportation,121,Unlimited Metro Pass,6
2018-01-01,Misc,10,Matt's Missionary Fund,6
2018-01-01,Misc,5.5,Laundry,6
2018-01-01,Gift Income,375.01,Gift CarryOver from 2017,6
2018-01-01,Misc,50,Prime payment to Justin,6
2018-01-01,Household,43.33,Groceries,6
2018-01-02,Household,6.58,Groceries,6
2018-01-03,Dining Out,3,Whole Foods Dinner,6
2018-01-03,Gift Expense,26,Ex Officio Underwear from Paragon,6
2018-01-04,Studio Income,393.616,Core Income,6
2018-01-04,Tax Savings,98.404,20% Savings,6
2018-01-04,Taxes Witheld,75.78,Tax Witheld,6
2018-01-04,Dining Out,2,Pizza,6
2018-01-05,Misc Income,95.392,Wendy Income,6
2018-01-05,Tax Savings,23.848,20% Savings,6
2018-01-05,Misc,36,Khiels for Roommates,6
2018-01-05,Dining Out,3,Pizza,6
2018-01-06,Gift Expense,10.5,Dan Weltner kindle book,6
2018-01-06,Business Exp.,127.5,Carrie Campbells Pilates Workshop,6
2018-01-07,Dining Out,10,Dinner w/Michael at Bar Coastal,6
2017-01-08,Dining Out,2,Pizza,6
2017-01-08,Misc,12.51,"New Watch, lost the last one",6
2018-01-10,Dining Out,2.75,Lunch pastries,6
2018-01-10,Household,15.82,Groceries,6
2018-01-11,Misc,1,Singer duet on train,6
2018-01-12,Studio Income,157.928,Equinox Income,6
2018-01-12,Tax Savings,39.482,Savings,6
2018-01-12,Dining Out,2,Pizza,6
2018-01-05,Taxes Witheld,10.76,Taxes Withheld in driving check,6
2018-01-13,Household,38.41,Groceries,6
2018-01-14,Misc,1,Mexican singers on train,6
2018-01-13,Misc,4.5,Laundry,6
2018-01-14,Studio Income,118.88,Pilates Movement Income,6
2018-01-14,Tax Savings,29.72,PM Check Savings,6
2018-01-14,Taxes Witheld,13.4,PM Check Withholdings,6
2018-01-14,Gift Expense,10,Nike Shirt w/Giftcard,6
2018-01-15,Dining Out,3,Pizza,6
2018-01-16,Misc,20,Haircut,6
2018-01-17,Dining Out,2,Whole Foods snack,6
2018-01-17,Gift Expense,145.95,New clothes at paragon,6
2018-01-17,Gift Expense,96,Pants at Lulu,6
2018-01-18,Misc Income,234.48,Core Income,6
2018-01-18,Tax Savings,58.62,Savings,6
2018-01-18,Taxes Witheld,27.15,Taxes Witheld,6
2018-01-18,Misc,48.48,December Phone Bill,6
